45,40,60,23,67
17,53,50,83,88
20,51,38,41,82
75,61,88,64,98
55,95,22,84,44
63,59,25,98,56
24,12,74,45,74
20,60,13,11,49
51,76,45,50,50
37,83,79,94,46
58,30,51,61,79
78,65,31,40,51
28,98,93,62,97
39,10,80,78,55
67,58,78,95,75
86,79,24,61,43
88,74,54,56,28
24,84,84,40,97
76,85,41,72,38
70,58,49,70,64
89,60,21,62,82
79,50,55,11,77
68,71,59,60,30
53,88,82,26,23
14,13,30,82,54
14,19,35,56,60
58,67,96,59,98
51,32,49,35,31
81,80,48,46,34
76,37,57,43,84
56,88,25,22,20
30,29,42,57,66
75,70,92,83,28
64,46,54,52,23
27,60,86,33,67
74,88,48,97,37
19,81,16,17,23
15,62,35,17,49
74,72,46,31,95
20,41,57,23,56
68,24,73,19,64
69,88,64,88,48
55,81,78,12,54
10,74,19,17,52
29,25,58,27,50
75,75,87,37,98
72,47,66,65,87
53,44,99,61,69
45,14,12,14,64
66,37,20,98,11
29,77,47,61,43
30,95,67,49,43
33,73,17,50,53
43,35,44,40,59
79,61,21,61,62
11,72,84,14,89
66,17,98,69,35
26,68,43,77,38
93,75,70,38,50
20,99,40,38,29
72,22,50,59,13
72,87,72,56,72
31,63,64,22,22
93,63,42,22,60
64,68,14,49,33
19,87,85,95,18
10,86,60,82,28
43,33,31,87,19
42,12,83,10,81
30,44,20,20,87
69,24,89,66,85
47,74,87,58,92
80,98,68,81,16
74,32,65,47,86
40,95,31,47,35
70,34,80,91,48
36,79,63,39,61
86,93,32,59,47
58,26,98,20,49
43,46,68,93,10
11,38,77,65,24
41,36,79,82,95
47,90,21,34,68
76,90,12,63,78
79,82,67,39,51
89,58,10,44,49
29,22,25,78,62
63,32,25,19,32
73,78,93,40,99
95,65,53,50,11
63,68,30,91,45
10,52,33,36,22
60,81,54,74,46
63,26,32,25,88
97,38,67,76,43
11,29,23,78,16
96,62,90,83,12
99,52,79,87,11
31,53,75,74,50
70,87,47,85,65
